vp_code,eyemovement_rate,speech_rate,reading_speed,group
UWNSM11,4.73718364698248,5.15355210785998,97.4025974025974,1
VGNOH03,5.10509910485934,4.57967769659135,37.6623376623377,1
WUNFT06,5.3352544425651,4.6591605519827,74.025974025974,1
YAARH28,4.41335233406745,5.38092827622936,42.8571428571429,1
cpahu28,4.54141485958052,5.13451646411221,90.9090909090909,1
dknwm28,4.84599044078598,4.27042225431332,50.6493506493506,1
AA0904,4.90341895924693,4.77687881423523,79.2207792207792,1
BB1704,5.09507144067881,4.15960890186317,59.7402597402597,1
CO2109,4.41369541182974,4.18536445927809,57.1428571428571,1
EM0208,4.69746833115773,5.85793920788019,63.6363636363636,1
HG2501,4.99081923662929,4.35920355953961,72.7272727272727,1
KC1608,4.92957746478873,4.77739703121437,76.6233766233766,1
KS0209,4.27371872072795,3.59666388750327,79.2207792207792,1
LA0106,4.61307911746651,6.03017916292964,62.3376623376623,1
SE0803,4.5733208036873,5.70021876792481,83.1168831168831,1
SH2403,4.89838957055215,5.63684872884964,80.5194805194805,1
BR0405,5.14369117721073,4.81255317214032,72.7272727272727,1
TN1206,5.02398930313041,4.07308888047456,77.9220779220779,1
AI1407,5.23136773136773,4.36851884057971,18.75,0
BA1003,4.11831076724694,4.34212925170068,12.5,0
DA2211,3.84557495484648,4.76977438016529,18.5,0
DO2812,4.2697192513369,3.86678965517241,9.25,0
EA2811,3.39580010632642,3.45427155963303,10.0,0
FA1211,5.47813036020583,3.66442553191489,23.25,0
FA2108,4.79902329075883,4.75272123287671,21.0,0
FH1907,4.00470219435737,4.11736326530612,9.25,0
HH1606,5.09370015948963,4.1197246031746,7.5,0
HH1712,4.11831076724694,4.11595862068966,10.75,0
HI2103,3.65208690680389,4.04703731343284,9.75,0
KA2505,3.89719341061623,4.79257307692308,16.5,0
LF0102,5.04940711462451,4.78124098360656,10.75,0
MA1801,3.51928374655647,4.62906470588235,7.5,0
MA2104,4.23855341738553,4.66683505154639,6.0,0
PA1807,5.09370015948963,4.6851,10.0,0
PA2308,4.06071201525747,4.6851,13.5,0
SA0402,3.95021645021645,3.06090769230769,16.25,0
SA2109,4.68291788856305,3.11242826086957,28.0,0
TN2911,3.89719341061623,3.29717019230769,9.25,0
ZA0201,4.46678321678322,3.67079493670886,13.25,0
AA2805,2.96266233766234,3.95599726027397,5.75,0
CA2208,4.11831076724694,4.69100689655172,11.75,0
HA2102,4.20783926218709,4.07549510489511,18.75,0
HA2610,3.43598708983324,4.11736347826087,11.5,0
KA1409,4.20783926218709,4.13375222222222,14.75,0
KY1607,4.79902329075883,4.76136370967742,9.0,0
NN1811,4.43268563497571,4.6851,5.25,0
PN0308,4.7596870342772,3.98866071428571,10.5,0
TE1808,4.14772727272727,3.15061333333333,5.25,0
WN2406,3.74633431085044,4.32616142857143,7.0,0
WZ2410,5.00587774294671,3.87251711711712,20.5,0
ZM2305,3.84557495484648,3.89778045977011,12.0,0
UG1711,4.23855341738553,3.58390434782609,9.0,0
EN0106,5.04940711462451,4.1083511627907,10.25,0
SA2702,4.0893085787452,3.92589325842697,12.5,0
LN1910,4.14772727272727,3.99243521126761,7.5,0
DN1707,3.79530600118836,4.37653211009174,13.75,0
TA0103,5.13877715205149,5.17296041666667,9.75,0
KA1312,3.79530600118836,4.16790319148936,7.75,0
LN2111,4.7596870342772,5.21512212389381,7.75,0
PO1406,5.58347902097902,5.23394050632911,18.5,0
MA2702,4.83901515151515,4.6851,5.25,0
RE1201,5.09370015948963,3.99525842696629,7.25,0
FA1902,4.39910468319559,3.95035476190476,6.75,0
TD2102,4.46678321678322,3.76545454545455,7.5,0
CA1101,4.36602870813397,4.29316902654867,5.0,0
UO1303,4.79902329075883,4.09466464646465,8.75,0
