vp_code,eyemovement_rate,speech_rate,reading_speed,group
001,4.87651257777608,4.92933738973414,45.4545454545455,1
ABAFT17,5.02952755905512,5.03997526874097,83.1168831168831,1
ACNMG09,5.2994555353902,4.87054683755291,57.1428571428571,1
AKAFF09,4.69048318402115,4.44098741313763,64.9350649350649,1
AMAMG16,5.06703157226718,5.37525428141858,63.6363636363636,1
AMEEE04,5.38109980834439,5.6171457368864,76.6233766233766,1
ARSDG25,4.74210731453813,4.07570764449809,68.8311688311688,1
ASAWG01,5.27941647467223,4.29898758702305,70.1298701298701,1
AZCHU18,4.7431637180463,5.38151296239143,48.0519480519481,1
BBNSN06,4.44881684107886,5.32733810110757,85.7142857142857,1
BSAML01,4.7004930458459,4.44360593110444,70.1298701298701,1
CAAMG22,4.53496627618033,4.77947145938027,76.6233766233766,1
CEAWN21,4.24884424784648,5.56844918648617,84.4155844155844,1
CHEBM26,4.58254865034526,5.7854784394128,77.9220779220779,1
CLEBN20,4.77498691784406,3.97605298559619,40.2597402597403,1
CLEBN24,4.62485292786678,5.00625210196303,75.3246753246753,1
CLEFT29,5.03349093774626,4.90105070907979,74.025974025974,1
CLNET04,4.89252716740868,4.90786111149043,18.1818181818182,1
CPNMZ04,5.33202554363705,5.99159240443131,76.6233766233766,1
CQSFL08,4.2436221100186,3.71176338331906,61.038961038961,1
CTAMZ07,4.35123213951191,6.08267326402886,62.3376623376623,1
EFNGT20,4.63189572342778,5.19664494700294,62.3376623376623,1
EHNRG15,5.38859010861542,3.77288073100729,79.2207792207792,1
EMSDT28,4.35965907636655,4.70201857584274,66.2337662337662,1
ERNBT17,4.18818129661503,4.72380340824861,45.4545454545455,1
FX1704,4.45665445665446,5.22094307870679,66.2337662337662,1
GEIWN17,4.50760382484739,3.2593148885824,57.1428571428571,1
GHABN22,4.43541737190671,3.82232390350665,51.9480519480519,1
GKEFU27,5.73538654934004,5.65161592562705,67.5324675324675,1
HBAGU04,4.86222120727716,4.57214123951727,50.6493506493506,1
HGSMN02,4.83041554807729,4.76816841452673,85.7142857142857,1
